lot	poste	unite	autoQty_actuel	classe	source_dans_le_plan
Etudes / Conception	Relevé + plans de l'existant	forfait	—	QUESTION	hors de portée d'un plan 2D — reste une question d'intake
Etudes / Conception	Plans du projet	forfait	—	QUESTION	hors de portée d'un plan 2D — reste une question d'intake
Etudes / Conception	Métré & quantitatifs	forfait	—	QUESTION	hors de portée d'un plan 2D — reste une question d'intake
Etudes / Conception	Diagnostics obligatoires (amiante, plomb, élec)	forfait	—	QUESTION	hors de portée d'un plan 2D — reste une question d'intake
Etudes / Conception	Diagnostic énergétique (DPE)	forfait	—	QUESTION	hors de portée d'un plan 2D — reste une question d'intake
Etudes / Conception	Démarches en mairie (DP / permis)	forfait	—	QUESTION	hors de portée d'un plan 2D — reste une question d'intake
Etudes / Conception	Étude de structure	forfait	—	REGLE	déclencheur : q.travaux.demolPorteur > 0 → étude obligatoire
Etudes / Conception	Dossier d'aides (MaPrimeRénov', CEE)	forfait	—	QUESTION	hors de portée d'un plan 2D — reste une question d'intake
Etudes / Conception	Étude assainissement individuel (SPANC)	forfait	—	QUESTION	hors de portée d'un plan 2D — reste une question d'intake
Annexes de chantier	Installation de chantier	forfait	—	REGLE	déduit de l'ampleur du chantier
Annexes de chantier	Benne & évacuation des gravats	forfait	—	REGLE	volume déduit de demolM2 + curage
Annexes de chantier	Sécurité du chantier	forfait	—	REGLE	déduit de l'ampleur du chantier
Annexes de chantier	Nettoyage de fin de chantier	m2	S	FOURNIT	surface réelle plutôt que S
Location de matériel	Marteau-piqueur / brise-béton	jour	—	QUESTION	hors de portée d'un plan 2D — reste une question d'intake
Location de matériel	Bétonnière	jour	—	QUESTION	hors de portée d'un plan 2D — reste une question d'intake
Location de matériel	Ponceuse (parquet / placo)	jour	—	QUESTION	hors de portée d'un plan 2D — reste une question d'intake
Location de matériel	Aspirateur de chantier	jour	—	QUESTION	hors de portée d'un plan 2D — reste une question d'intake
Location de matériel	Découpeur / scie (carrelage, béton)	jour	—	QUESTION	hors de portée d'un plan 2D — reste une question d'intake
Location de matériel	Compresseur	jour	—	QUESTION	hors de portée d'un plan 2D — reste une question d'intake
Location de matériel	Groupe électrogène	jour	—	QUESTION	hors de portée d'un plan 2D — reste une question d'intake
Location de matériel	Déshumidificateur / chauffage chantier	jour	—	QUESTION	hors de portée d'un plan 2D — reste une question d'intake
Location de matériel	Mini-pelle (1,5-2,5 t)	jour	—	QUESTION	hors de portée d'un plan 2D — reste une question d'intake
Location de matériel	Livraison mini-pelle (dépose + reprise)	forfait	—	QUESTION	hors de portée d'un plan 2D — reste une question d'intake
