lot	phase	tva	poste	unite	autoQty
Etudes / Conception	Préparation	20	Relevé + plans de l'existant	forfait	
Etudes / Conception	Préparation	20	Plans du projet	forfait	
Etudes / Conception	Préparation	20	Métré & quantitatifs	forfait	
Etudes / Conception	Préparation	20	Diagnostics obligatoires (amiante, plomb, élec)	forfait	
Etudes / Conception	Préparation	20	Diagnostic énergétique (DPE)	forfait	
Etudes / Conception	Préparation	20	Démarches en mairie (DP / permis)	forfait	
Etudes / Conception	Préparation	20	Étude de structure	forfait	
Etudes / Conception	Préparation	20	Dossier d'aides (MaPrimeRénov', CEE)	forfait	
Etudes / Conception	Préparation	20	Étude assainissement individuel (SPANC)	forfait	
Annexes de chantier	Préparation	10	Installation de chantier	forfait	
Annexes de chantier	Préparation	10	Benne & évacuation des gravats	forfait	
Annexes de chantier	Préparation	10	Sécurité du chantier	forfait	
Annexes de chantier	Préparation	10	Nettoyage de fin de chantier	m2	S
Location de matériel	Préparation	20	Marteau-piqueur / brise-béton	jour	
Location de matériel	Préparation	20	Bétonnière	jour	
Location de matériel	Préparation	20	Ponceuse (parquet / placo)	jour	
Location de matériel	Préparation	20	Aspirateur de chantier	jour	
Location de matériel	Préparation	20	Découpeur / scie (carrelage, béton)	jour	
Location de matériel	Préparation	20	Compresseur	jour	
Location de matériel	Préparation	20	Groupe électrogène	jour	
Location de matériel	Préparation	20	Déshumidificateur / chauffage chantier	jour	
Location de matériel	Préparation	20	Mini-pelle (1,5-2,5 t)	jour	
Location de matériel	Préparation	20	Livraison mini-pelle (dépose + reprise)	forfait	
Location de matériel	Préparation	20	Nacelle / plateforme élévatrice	jour	
Location de matériel	Préparation	20	Camion benne / utilitaire	jour	
Raccordements aux réseaux	Préparation	20	Raccordement eau potable	forfait	
Raccordements aux réseaux	Préparation	20	Raccordement électrique (Enedis)	forfait	
Raccordements aux réseaux	Préparation	20	Coffret / tableau de chantier provisoire	forfait	
Raccordements aux réseaux	Préparation	20	Mise en service provisoire (Enedis)	forfait	
Raccordements aux réseaux	Préparation	20	Raccordement au tout-à-l'égout	forfait	
Raccordements aux réseaux	Préparation	20	Assainissement — fosse toutes eaux (5 EH)	forfait	
Raccordements aux réseaux	Préparation	20	Assainissement — micro-station (5 EH)	forfait	
Démolition	Gros œuvre & clos-couvert	10	Enlever un revêtement de sol	m2	S
Démolition	Gros œuvre & clos-couvert	10	Enlever un revêtement mural	m2	
Démolition	Gros œuvre & clos-couvert	10	Abattre une cloison	m2	
Démolition	Gros œuvre & clos-couvert	10	Abattre un mur non porteur	m2	
Démolition	Gros œuvre & clos-couvert	10	Abattre un mur porteur	m2	
Démolition	Gros œuvre & clos-couvert	10	Enlever les anciennes portes / fenêtres	u	
Démolition	Gros œuvre & clos-couvert	10	Dépose complète cuisine / salle de bain (curage)	forfait	
Démolition	Gros œuvre & clos-couvert	10	Enlever les vieux réseaux	m2	S
Démolition	Gros œuvre & clos-couvert	10	Creuser tranchées / saignées	ml	
Démolition	Gros œuvre & clos-couvert	10	Casser une dalle / vieux sol	m2	
Démolition	Gros œuvre & clos-couvert	10	Retrait amiante / plomb	m2	
Maçonnerie	Gros œuvre & clos-couvert	10	Ouvrir un mur porteur — petite (porte/fenêtre)	u	
Maçonnerie	Gros œuvre & clos-couvert	10	Ouvrir un mur porteur — grande (2,5 m, baie)	u	
Maçonnerie	Gros œuvre & clos-couvert	10	Poutre de reprise de charge (IPN / HEA)	ml	
Maçonnerie	Gros œuvre & clos-couvert	10	Poutre de reprise de charge (lamellé-collé)	ml	
Maçonnerie	Gros œuvre & clos-couvert	10	Poutre de reprise de charge (béton armé)	ml	
Maçonnerie	Gros œuvre & clos-couvert	10	Poteau de reprise (acier HEA / HEB)	u	
Maçonnerie	Gros œuvre & clos-couvert	10	Poteau de reprise (lamellé-collé)	u	
Maçonnerie	Gros œuvre & clos-couvert	10	Poteau de reprise (béton armé)	u	
Maçonnerie	Gros œuvre & clos-couvert	10	Créer un appui de fenêtre	u	
Maçonnerie	Gros œuvre & clos-couvert	10	Créer un seuil de porte	u	
Maçonnerie	Gros œuvre & clos-couvert	10	Couler une dalle béton	m2	
Maçonnerie	Gros œuvre & clos-couvert	10	Chape traditionnelle	m2	S
Maçonnerie	Gros œuvre & clos-couvert	10	Chape liquide	m2	S
Maçonnerie	Gros œuvre & clos-couvert	10	Semelle de fondation (50 × 25-30 cm)	ml	
Maçonnerie	Gros œuvre & clos-couvert	10	Consolider fondations / reprise en sous-œuvre	ml	
Maçonnerie	Gros œuvre & clos-couvert	10	Monter un mur en parpaings	m2	
Maçonnerie	Gros œuvre & clos-couvert	10	Monter un mur en brique	m2	
Maçonnerie	Gros œuvre & clos-couvert	10	Monter un mur en pierre	m2	
Maçonnerie	Gros œuvre & clos-couvert	10	Créer / enlever une cheminée en dur	forfait	
Maçonnerie	Gros œuvre & clos-couvert	10	Escalier en béton	u	
Maçonnerie	Gros œuvre & clos-couvert	10	Plancher béton (étage créé)	m2	
Charpente, couverture & structure bois	Gros œuvre & clos-couvert	10	Toiture complète tuile (charpente + couverture)	m2	roof
Charpente, couverture & structure bois	Gros œuvre & clos-couvert	10	Toiture complète ardoise (charpente + couverture)	m2	roof
Charpente, couverture & structure bois	Gros œuvre & clos-couvert	10	Dépose complète de toiture (couverture + charpente)	m2	roof
Charpente, couverture & structure bois	Gros œuvre & clos-couvert	10	Charpente traditionnelle (hors couverture)	m2	roof
Charpente, couverture & structure bois	Gros œuvre & clos-couvert	10	Charpente en fermettes (hors couverture)	m2	roof
Charpente, couverture & structure bois	Gros œuvre & clos-couvert	10	Couverture tuiles (sur support existant)	m2	roof
Charpente, couverture & structure bois	Gros œuvre & clos-couvert	10	Couverture ardoise (sur support existant)	m2	roof
Charpente, couverture & structure bois	Gros œuvre & clos-couvert	10	Réfection couverture tuiles (dépose + écran + liteaux)	m2	roof
Charpente, couverture & structure bois	Gros œuvre & clos-couvert	10	Réfection couverture ardoise (dépose + écran + liteaux)	m2	roof
Charpente, couverture & structure bois	Gros œuvre & clos-couvert	10	Couverture zinc / bac acier	m2	roof
Charpente, couverture & structure bois	Gros œuvre & clos-couvert	10	Sous-toiture (écran + liteaux)	m2	roof
Charpente, couverture & structure bois	Gros œuvre & clos-couvert	10	Traiter la charpente	m2	roof
Charpente, couverture & structure bois	Gros œuvre & clos-couvert	10	Gouttières & descentes	ml	4 * Math.sqrt(SS) + 4 * ctx.hauteur * (ctx.niveaux || 1)
Charpente, couverture & structure bois	Gros œuvre & clos-couvert	10	Raccords (faîtage, noues, solins)	ml	
Charpente, couverture & structure bois	Gros œuvre & clos-couvert	10	Fenêtre de toit (Velux)	u	
Charpente, couverture & structure bois	Gros œuvre & clos-couvert	10	Nettoyer / démousser la toiture	m2	roof
Charpente, couverture & structure bois	Gros œuvre & clos-couvert	10	Toit plat (étanchéité)	m2	SS
